Run Length,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Count Sort,Radix Sort,
10,1.1747e-07,7.9008e-08,8.94127e-08,3.34319e-07,1.49314e-07,-,6.22021e-07,
20,4.1083e-07,1.51829e-07,2.37737e-07,6.38179e-07,3.44355e-07,-,9.37708e-07,
50,1.9935e-06,4.55693e-07,1.00992e-06,1.76e-06,1.01472e-06,-,1.84391e-06,
100,5.80276e-06,1.30973e-06,2.94727e-06,3.74495e-06,2.31017e-06,-,3.38601e-06,
1000,0.000280195,8.22705e-05,0.000137777,4.35927e-05,3.18718e-05,-,3.01098e-05,
10000,0.025854,0.00749011,0.0110989,0.000497428,0.000388937,-,0.000328345,
100000,2.67883,0.771748,1.1331,0.0059192,0.00497889,-,0.00397348,
250000,-,5.01169,7.13434,0.0151454,0.0124704,-,0.00898975,
500000,-,20.7881,-,0.0333346,0.0277647,-,0.0225123,
1000000,-,-,-,0.0657158,0.0556244,-,0.0489193,
2500000,-,-,-,0.180641,0.147447,-,0.128581,
5000000,-,-,-,0.365806,0.30078,-,0.427536,
10000000,-,-,-,0.773715,0.630569,-,0.868493,
